BRGE7;CONSORCIO ALFA DE ADMINISTRACAO S.A.;17193806000146
BRGE8;CONSORCIO ALFA DE ADMINISTRACAO S.A.;17193806000146
BRIT3;BRISANET PARTICIPAÇÕES S.A.;19796586000170
BRIV3;BCO ALFA DE INVESTIMENTO S.A.;60770336000165
BRIV4;BCO ALFA DE INVESTIMENTO S.A.;60770336000165
BRKM3;BRASKEM S.A.;42150391000170
BRKM5;BRASKEM S.A.;42150391000170
BRKM6;BRASKEM S.A.;42150391000170
BRPR3;BR PROPERTIES S.A.;06977751000149
BRQB3;BRQ SOLUCOES EM INFORMATICA S.A.;36542025000164
BRSR3;BCO ESTADO DO RIO GRANDE DO SUL S.A.;92702067000196
BRSR5;BCO ESTADO DO RIO GRANDE DO SUL S.A.;92702067000196
BRSR6;BCO ESTADO DO RIO GRANDE DO SUL S.A.;92702067000196
BSLI3;BRB BCO DE BRASILIA S.A.;00000208000100
BSLI4;BRB BCO DE BRASILIA S.A.;00000208000100
CABI3B;CABINDA PARTICIPACOES S.A.;04030182000102
CALI3;CONSTRUTORA ADOLPHO LINDENBERG S.A.;61022042000118
CAMB3;CAMBUCI S.A.;61088894000108
CAML3;CAMIL ALIMENTOS S.A.;64904295000103
CASH3;MÉLIUZ S.A.;14110585000107
CASN3;CIA CATARINENSE DE AGUAS E SANEAM.-CASAN;82508433000117
CASN4;CIA CATARINENSE DE AGUAS E SANEAM.-CASAN;82508433000117
CATA3;CIA INDUSTRIAL CATAGUASES;19526748000150
CATA4;CIA INDUSTRIAL CATAGUASES;19526748000150
CBAV3;COMPANHIA BRASILEIRA DE ALUMINIO;61409892000173
CBEE3;AMPLA ENERGIA E SERVICOS S.A.;33050071000158
CCRO3;CCR S.A.;02846056000197
CEAB3;CEA MODAS S.A.;45242914000105
CEBR3;CIA ENERGETICA DE BRASILIA;00070698000111
CEBR5;CIA ENERGETICA DE BRASILIA;00070698000111
CEBR6;CIA ENERGETICA DE BRASILIA;00070698000111
CEDO3;CIA FIACAO TECIDOS CEDRO CACHOEIRA;17245234000100
CEDO4;CIA FIACAO TECIDOS CEDRO CACHOEIRA;17245234000100
CEEB3;CIA ELETRICIDADE EST. DA BAHIA ? COELBA;15139629000194
CEEB5;CIA ELETRICIDADE EST. DA BAHIA ? COELBA;15139629000194
CEEB6;CIA ELETRICIDADE EST. DA BAHIA ? COELBA;15139629000194
CEED3;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;08467115000100
CEED4;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;08467115000100
CEGR3;CIA DISTRIB DE GAS DO RIO DE JANEIRO-CEG;33938119000169
CGAS3;CIA GAS DE SAO PAULO ? COMGAS;61856571000117
CGAS5;CIA GAS DE SAO PAULO ? COMGAS;61856571000117
CGRA3;GRAZZIOTIN S.A.;92012467000170
CGRA4;GRAZZIOTIN S.A.;92012467000170
CIEL3;CIELO S.A.;01027058000191
CLSA3;CLEAR SALE S.A.;03802115000198
CLSC3;CENTRAIS ELET DE SANTA CATARINA S.A.;83878892000155
CLSC4;CENTRAIS ELET DE SANTA CATARINA S.A.;83878892000155
CMIG3;CIA ENERGETICA DE MINAS GERAIS ? CEMIG;17155730000164
CMIG4;CIA ENERGETICA DE MINAS GERAIS ? CEMIG;17155730000164
CMIN3;CSN MINERAÇÃO S.A.;08902291000115
CMSA3;CIMS S.A.;00272185000193
CMSA4;CIMS S.A.;00272185000193
CNSY3;CINESYSTEM S.A.;07437016000105
COCE3;CIA ENERGETICA DO CEARA ? COELCE;07047251000170
COCE5;CIA ENERGETICA DO CEARA ? COELCE;07047251000170
COCE6;CIA ENERGETICA DO CEARA ? COELCE;07047251000170
COGN3;COGNA EDUCAÇÃO S.A.;02800026000140
COMR3;COMERC PARTICIPACOES S.A;25369840000157
CORR3;CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA;15101405000193
CORR4;CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA;15101405000193
CPFE3;CPFL ENERGIA S.A.;02429144000193
CPLE11;CIA PARANAENSE DE ENERGIA ? COPEL;76483817000120
CPLE3;CIA PARANAENSE DE ENERGIA ? COPEL;76483817000120
CPLE5;CIA PARANAENSE DE ENERGIA ? COPEL;76483817000120
CPLE6;CIA PARANAENSE DE ENERGIA ? COPEL;76483817000120
CRDE3;CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.;07820907000146
CRFB3;ATACADÃO S.A.;75315333000109
CRIV3;FINANCEIRA ALFA S.A.- CRED FINANC E INVS;17167412000113
CRIV4;FINANCEIRA ALFA S.A.- CRED FINANC E INVS;17167412000113
CRPG3;TRONOX PIGMENTOS DO BRASIL S.A.;15115504000124
CRPG5;TRONOX PIGMENTOS DO BRASIL S.A.;15115504000124
CRPG6;TRONOX PIGMENTOS DO BRASIL S.A.;15115504000124
CRTE3B;CONC RIO-TERESOPOLIS S.A.;00938574000105
CRTE5B;CONC RIO-TERESOPOLIS S.A.;00938574000105
CSAB3;CIA SEGUROS ALIANCA DA BAHIA;15144017000190
CSAB4;CIA SEGUROS ALIANCA DA BAHIA;15144017000190
CSAN3;COSAN S.A.;50746577000115
CSED3;CRUZEIRO DO SUL EDUCACIONAL S.A.;62984091000102
CSMG3;CIA SANEAMENTO DE MINAS GERAIS-COPASA MG;17281106000103
CSNA3;CIA SIDERURGICA NACIONAL;33042730000104
CSRN3;CIA ENERGETICA DO RIO GDE NORTE ? COSERN;08324196000181
CSRN5;CIA ENERGETICA DO RIO GDE NORTE ? COSERN;08324196000181
CSRN6;CIA ENERGETICA DO RIO GDE NORTE ? COSERN;08324196000181
CSUD3;CSU DIGITAL S.A.;01896779000138
CTCA3;CTC ? CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;06981381000113
CTKA3;KARSTEN S.A.;82640558000104
CTKA4;KARSTEN S.A.;82640558000104
CTNM3;CIA TECIDOS NORTE DE MINAS COTEMINAS;22677520000176
CTNM4;CIA TECIDOS NORTE DE MINAS COTEMINAS;22677520000176
CTSA3;CIA TECIDOS SANTANENSE;21255567000189
CTSA4;CIA TECIDOS SANTANENSE;21255567000189
CURY3;CURY CONSTRUTORA E INCORPORADORA S.A.;08797760000183
CVCB3;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;10760260000119
CXSE3;CAIXA SEGURIDADE PARTICIPAÇÕES S.A.;22543331000100
CYRE3;CYRELA BRAZIL REALTY S.A.EMPREEND E PART;73178600000118
DASA3;DIAGNOSTICOS DA AMERICA S.A.;61486650000183
DESK3;DESKTOP - SIGMANET COMUNICAÇÃO MULTIMÍDIA S.A;08170849000115
DEXP3;DEXXOS PARTICIPACOES S.A.;02193750000152
DEXP4;DEXXOS PARTICIPACOES S.A.;02193750000152
DIRR3;DIRECIONAL ENGENHARIA S.A.;16614075000100
DMFN3;DM FINANCEIRA S.A. - CRÉDITO. FINANC E INVEST;91669747000192
DMVF3;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;12108897000150
DOHL3;DOHLER S.A.;84683408000103
DOHL4;DOHLER S.A.;84683408000103
DOTZ3;DOTZ S.A.;18174270000184
DTCY3;DTCOM ? DIRECT TO COMPANY S.A.;03303999000136
DTCY4;DTCOM ? DIRECT TO COMPANY S.A.;03303999000136
DXCO3;DURATEX S.A.;97837181000147
EALT3;ELECTRO ACO ALTONA S.A.;82643537000134
EALT4;ELECTRO ACO ALTONA S.A.;82643537000134
ECOR3;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;04149454000180
EEEL3;CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT;92715812000131
EEEL4;CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT;92715812000131
EGIE3;ENGIE BRASIL ENERGIA S.A.;02474103000119
EKTR3;ELEKTRO REDES S.A.;02328280000197
EKTR4;ELEKTRO REDES S.A.;02328280000197
ELET3;CENTRAIS ELET BRAS S.A. ? ELETROBRAS;00001180000126
ELET5;CENTRAIS ELET BRAS S.A. ? ELETROBRAS;00001180000126
ELET6;CENTRAIS ELET BRAS S.A. ? ELETROBRAS;00001180000126
ELMD3;ELETROMIDIA S.A.;09347516000181
EMAE3;EMAE ? EMPRESA METROP.AGUAS ENERGIA S.A.;02302101000142
EMAE4;EMAE ? EMPRESA METROP.AGUAS ENERGIA S.A.;02302101000142
EMBR3;EMBRAER S.A.;07689002000189
ENAT3;ENAUTA PARTICIPAÇÕES S.A.;11669021000110
